band,freq_mhz,direction,waypoint,corridor_km,path_km,rx_lat,rx_lon,itwom_loss_db,terrain_shield_db,dbm_terrain,foliage_summer_db,foliage_leafoff_db,dbm_summer,dbm_leafoff,verdict_terrain,verdict_summer,verdict_leafoff,prop_mode,interpolated
aar,161.0,NORTH,3,3.0,2.91,39.8212,-76.3241,105.0,19.12,-55.5,5.8,2.7,-61.3,-58.1,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
aar,161.0,NORTH,4,4.0,4.0,,,,,-64.1,5.8,2.7,-69.9,-66.7,SOLID,SOLID,SOLID,interpolated (ITWOM edge case),True
aar,161.0,NORTH,5,5.0,4.8,39.8322,-76.341,122.24,32.01,-72.7,5.8,2.7,-78.5,-75.4,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
aar,161.0,NORTH,6,6.0,5.76,39.8396,-76.3477,137.21,45.4,-87.7,5.8,2.7,-93.5,-90.3,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
aar,161.0,NORTH,7,7.0,6.61,39.8476,-76.3515,141.47,48.46,-91.9,5.8,2.7,-97.8,-94.6,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
aar,161.0,NORTH,8,8.0,7.58,39.8552,-76.3578,147.52,53.32,-98.0,5.8,2.7,-103.8,-100.7,SOLID,USABLE,USABLE,Double Horizon Diffraction Dominant,False
aar,161.0,SOUTH,1,1.0,1.0,39.7985,-76.2899,103.81,27.22,-54.3,5.8,2.7,-60.1,-56.9,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,2,2.0,2.0,39.7911,-76.2832,111.72,29.11,-62.2,5.8,2.7,-68.0,-64.9,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,3,3.0,3.0,39.7838,-76.2764,118.8,32.66,-69.2,5.8,2.7,-75.1,-71.9,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,4,4.0,3.99,39.7764,-76.2697,124.59,35.95,-75.0,5.8,2.7,-80.9,-77.7,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,5,5.0,4.99,39.7691,-76.263,128.97,38.39,-79.4,5.8,2.7,-85.3,-82.1,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,6,6.0,5.99,39.7617,-76.2563,130.79,38.63,-81.2,5.8,2.7,-87.1,-83.9,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,7,7.0,6.99,39.7544,-76.2496,132.28,38.79,-82.7,5.8,2.7,-88.6,-85.4,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
aar,161.0,SOUTH,8,8.0,7.99,39.747,-76.2429,133.36,38.7,-83.8,5.8,2.7,-89.7,-86.5,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
